,,,,,,,,,,,,Effective Dates,,,,,,,,
Row,Client,Service Order,New Service order,Engine Type,ESN,SOW,QTY,Part Name,Applicant,Part No.,Month,Recieveing Email ,Entry to Warehouse ,Actual End,Cleaning,Inspection,Repair & Coating,Inspection After Repair,Status,Remarks
1,GT 31,5026277,510005,SAM 146,"146119, 146134","Cleaning, Inspection",8,"Dome, Inner, Outer, cowl",Sharifi,"3650115040, 3650116010, 3650114040, 3650117040",2,5/2/2024,6/2/2024,26/02/24,Completed,Completed,,,Completed,Å«?«‰ »«“—”?
2,QC- NDT,5025114,510005,SAM 146 GDT-NDT005,GT21,"Cleaning, Inspection (FPI-2)",23755,"LIST (Bolt,..)",NDT-QC,List,3,13/02/24,18/02/24,11/3/2024,Completed,Completed,,,Completed,Å«?«‰ »«“—”?
4,Pars Air,S-10008,560007,CF34,,"Cleaning, Inspection, Repair",40,HPT Nozzle segment 2 (19+21),,5099T23G07,5,17/02/24,13/12/23,,Completed,Completed,,,,"21 ﬁÿ⁄Â  ÕÊ?· ò«—›—„« ê—œ?œÂ «” . 19⁄œœ »—?“?‰ê «‰Ã«„ ‘œÂ «” . œ— Õ«·  ⁄„?— ‰Â«??: »·‰œ?‰ê Ê »«“—”? «‰Ã«„ ‘œÂ «” ° ﬁÿ⁄«  œ— »—?“?‰ê „? »«‘‰œ Ê ”Å” »·‰œ?‰ê° òÊ·?‰ò Ê ÅÊ‘‘"
5,Meraj,S-10006,560005,CFM56-5B5/P,575649,Cleaning /Inspection (FPI-2),596,LPT Blade stg.1-4,Engine Shop,List,3,19/02/24,24/02/24,30/03/24,Completed,Completed,,,Completed,Å«?«‰  „?“ò«—?
6,Sepahan,S-10005,560004,CFM56-5A3,731548,Cleaning,2512,HPT Rotor parts list,,List,2,2/1/2024,2/1/2024,19/02/24,Completed,,,,Completed,Å«?«‰  „?“ò«—?
7,Kish air,5025293,560141,CFM56-B,577860,"Cleaning, Inspection",35,Fan Rotor Blade,,List,2,29/11/23,29/11/23,20/02/24,Completed,Completed,,,Completed,Å«?«‰ »«“—”?
8,Aseman ,5025213,560102,CFM56-5C2,"740178, 740107","Cleaning, Inspection (FPI-2,3,4)",20,Compressor Rotor Assembly parts,Engine Shop,List,3,9/1/2024,24/02/24,12/3/2024,Completed,Completed,,,Completed,Å«?«‰ »«“—”?
9,Iran Air,5025109,560192,Tay650-15,,"Cleaning, Inspection, Repiar",72,HPT 1th ST Blade ,,List,5,,24/02/24,,Completed,Completed,,,,Repair outsourcing
10,GT 31,5026277,510005,SAM 146,146122,"Cleaning, Inspection, Repair",4," Cowl, Inner, Outer, Dome",GT 31,,5,19/09/23,12/10/2023,,Completed,Completed,,,,œ— Õ«·  ⁄„?— œ—  ⁄„?— ﬁÿ⁄Â
11,Zagros,5026220,,CFM56-5B4/P,,"Cleaning, Inspection, Repair",54,"Combustion Chamber (3),  Shroud (30), Nozzle(21)",Engine Shop,338-003-403-0,5,22/08/23,13/09/23,,Completed,Completed,,,Completed,"Å«?«‰ »«“—”? œ— 1403/12/07° «—”«· «”òÊÅ  ⁄„?— „Õ›ŸÂ «Õ —«ﬁ Ê «ç Å?  ? »·?œ. œ— «‰ Ÿ«—  √??œ «”òÊÅ  ⁄„?— «“ „Ê Ê—"
